Name,Rewards,RewardAmounts,Probabilities
,Voucher4,2,5
,RockingHorse,1,5
DerbyRewardSet1_18_expert,Axe,2,15
,Saw,2,15
,Shovel,1,15
,Dynamite,2,15
,Demolition Charge,1,15
,Pickaxe,1,15
,Brown_Sugar,5,8
,White Sugar,5,8
,Vanilla Ice Cream,1,8
,Apple Jam,1,8
,Honey,5,8
,Cream,5,8
,Butter,5,8
,Cheese,5,8
,Goat Cheese,5,8
DerbyRewardSet2_18_expert,Axe,2,5
,Saw,2,5
,Shovel,1,5
,Dynamite,2,5
,Demolition Charge,2,5
,Pickaxe,1,5
,Land Deed,2,10
,Mallet,2,10
,Marker Stake,2,10
,Voucher1,2,4
,White Sugar,6,2
,Syrup,5,2
,Cherry Popsicle,1,2
,Raspberry Jam,1,2
,Blackberry Jam,1,2
,Honey,6,2
,Cream,6,2
,Butter,6,2
,Cheese,4,2
,Goat Cheese,4,2
DerbyRewardSet3_18_expert,FreeDiamonds,2,4
,Axe,2,6
,Saw,2,6
,Shovel,2,6
,Dynamite,2,6
,Demolition Charge,2,6
,Pickaxe,2,6
,Plank,1,12
,Nail,1,12
,Bolt,1,12
,Screw,1,12
,Duct Tape,1,12
,Wood Panel,1,12
,Land Deed,1,12
,Mallet,1,12
,Marker Stake,1,12
,Hammer,1,3
,Hand Drill,1,3
,Paint Bucket,1,3
,Stone Block,1,3
,Brick,1,3
,Tar Bucket,1,3
,Map Piece,1,1
,Voucher1,1,4
,Voucher2,1,4
DerbyRewardSet4_18_expert,FreeDiamonds,2,4
,Axe,2,6
,Saw,2,6
,Shovel,2,6
,Dynamite,2,6
,Demolition Charge,2,6
,Pickaxe,2,6
,Plank,1,12
,Nail,1,12
,Bolt,1,12
,Screw,1,12
,Duct Tape,1,12
,Wood Panel,1,12
,Land Deed,1,12
,Mallet,1,12
,Marker Stake,1,12
,Hammer,1,3
,Hand Drill,1,3
,Paint Bucket,1,3
,Stone Block,1,3
,Brick,1,3
,Tar Bucket,1,3
,Map Piece,1,1
,Voucher2,2,4
,Voucher3,1,4
DerbyRewardSet5_18_expert,FreeDiamonds,3,6
,Plank,2,12
,Nail,2,12
,Bolt,2,12
,Screw,2,12
,Duct Tape,2,12
,Wood Panel,2,12
,Land Deed,2,12
,Mallet,2,12
,Marker Stake,2,12
,Hammer,2,3
,Hand Drill,2,3
,Paint Bucket,2,3
,Stone Block,2,3
,Brick,2,3
,Tar Bucket,2,3
,Map Piece,1,1
,Voucher3,2,6
,Voucher4,2,6
,HayFence,1,2
,GrassFenceS,1,2
DerbyRewardSet6_18_expert,FreeDiamonds,3,12
,Plank,2,24
,Nail,2,24
,Bolt,2,24
,Screw,2,24
,Duct Tape,2,24
,Wood Panel,2,24
,Land Deed,2,24
,Mallet,2,24
,Marker Stake,2,24
,Hammer,2,8
,Hand Drill,2,8
,Paint Bucket,2,8
,Stone Block,2,8
,Brick,2,8
,Tar Bucket,2,8
,Map Piece,2,1
,Voucher3,2,9
,Voucher4,2,8
,GrassFenceL,1,9
DerbyRewardSet7_18_expert,FreeDiamonds,3,3
,Plank,2,6
,Nail,2,6
,Bolt,2,6
,Screw,2,6
,Duct Tape,2,6
,Wood Panel,2,6
,Land Deed,2,6
,Mallet,2,6
,Marker Stake,2,6
,Voucher3,2,3
,Voucher4,2,3
,CrossFence,1,2
DerbyRewardSet8_18_expert,FreeDiamonds,3,3
,Plank,3,6
,Nail,3,6
,Bolt,3,6
,Screw,3,6
,Duct Tape,3,6
,Wood Panel,3,6
,Land Deed,3,6
,Mallet,3,6
,Marker Stake,3,6
,Voucher3,2,3
,Voucher4,2,3
,WhiteFence,1,2
DerbyRewardSetBronze_18_expert,Axe,6,4
,Saw,6,4
,Shovel,3,4
,Dynamite,3,4
,Demolition Charge,3,4
,Pickaxe,3,4
,Plank,2,12
,Nail,2,12
,Bolt,2,12
,Screw,2,12
,Duct Tape,2,12
,Wood Panel,2,12
,Land Deed,2,9
,Mallet,2,9
,Marker Stake,2,9
,Voucher3,2,9
,Voucher4,2,9
,RockingHorse,1,3
,HorseTopiary,1,3
DerbyRewardSetSilver_18_expert,Axe,7,4
,Saw,7,4
,Shovel,4,4
,Dynamite,4,4
,Demolition Charge,4,4
,Pickaxe,4,4
,Plank,3,8
,Nail,3,8
,Bolt,3,8
,Screw,3,8
,Duct Tape,3,8
,Wood Panel,3,8
,Land Deed,3,7
,Mallet,3,7
,Marker Stake,3,7
,Voucher3,2,5
,Voucher4,2,5
,RockingHorse,1,3
,HorseTopiary,1,3
DerbyRewardSetGold_18_expert,Axe,8,4
,Saw,8,4
,Shovel,5,4
,Dynamite,5,4
,Demolition Charge,5,4
,Pickaxe,5,4
,Plank,3,8
,Nail,3,8
,Bolt,3,8
,Screw,3,8
,Duct Tape,3,8
,Wood Panel,3,8
,Land Deed,3,7
,Mallet,3,7
,Marker Stake,3,7
,Voucher3,2,5
,Voucher4,2,5
,RockingHorse,1,3
,HorseTopiary,1,3
DerbyRewardSet1_41_expert,Axe,2,15
,Saw,2,15
,Shovel,1,15
,Dynamite,2,15
,Demolition Charge,1,15
,Pickaxe,1,15
,Brown_Sugar,5,6
,White Sugar,5,6
,Vanilla Ice Cream,1,6
,Apple Jam,1,6
,Honey,5,5
,Cream,5,5
,Butter,5,6
,Cheese,5,6
,Goat Cheese,5,6
,Lobster Meat,2,5
,Duck Down,2,5
,Bracelet,1,5
,SoySauce,1,5
DerbyRewardSet2_41_expert,Axe,2,5
,Saw,2,5
,Shovel,1,5
,Dynamite,2,5
,Demolition Charge,2,5
,Pickaxe,1,5
,Land Deed,2,10
,Mallet,2,10
,Marker Stake,2,10
,Voucher1,2,4
,White Sugar,6,1
,Syrup,5,1
,Cherry Popsicle,1,2
,Raspberry Jam,1,2
,Blackberry Jam,1,2
,Honey,6,1
,Cream,6,1
,Butter,6,1
,Cheese,4,2
,Goat Cheese,4,2
,Lollipop,1,1
,Lobster Meat,2,2
,Duck Down,2,2
DerbyRewardSet3_41_expert,FreeDiamonds,2,4
,Axe,2,6
,Saw,2,6
,Shovel,2,6
,Dynamite,2,6
,Demolition Charge,2,6
,Pickaxe,2,6
,Plank,1,12
,Nail,1,12
,Bolt,1,12
,Screw,1,12
,Duct Tape,1,12
,Wood Panel,1,12
,Land Deed,1,12
,Mallet,1,12
,Marker Stake,1,12
,Hammer,1,3
,Hand Drill,1,3
,Paint Bucket,1,3
,Stone Block,1,3
,Brick,1,3
,Tar Bucket,1,3
,Map Piece,1,1
,Voucher1,1,4
,Voucher2,1,4
DerbyRewardSet4_41_expert,FreeDiamonds,2,4
,Axe,2,6
,Saw,2,6
,Shovel,2,6
,Dynamite,2,6
,Demolition Charge,2,6
,Pickaxe,2,6
,Plank,1,12
,Nail,1,12
,Bolt,1,12
,Screw,1,12
,Duct Tape,1,12
,Wood Panel,1,12
,Land Deed,1,12
,Mallet,1,12
,Marker Stake,1,12
,Hammer,1,3
,Hand Drill,1,3
,Paint Bucket,1,3
,Stone Block,1,3
,Brick,1,3
,Tar Bucket,1,3
,Map Piece,1,1
,Voucher2,2,4
,Voucher3,1,4
DerbyRewardSet5_41_expert,FreeDiamonds,3,6
,Plank,2,12
,Nail,2,12
,Bolt,2,12
,Screw,2,12
,Duct Tape,2,12
,Wood Panel,2,12
,Land Deed,2,12
,Mallet,2,12
,Marker Stake,2,12
,Hammer,2,3
,Hand Drill,2,3
,Paint Bucket,2,3
,Stone Block,2,3
,Brick,2,3
,Tar Bucket,2,3
,Map Piece,1,1
,Voucher3,2,6
,Voucher4,2,6
,HayFence,1,2
,GrassFenceS,1,2
DerbyRewardSet6_41_expert,FreeDiamonds,3,12
,Plank,2,24
,Nail,2,24
,Bolt,2,24
,Screw,2,24
,Duct Tape,2,24
,Wood Panel,2,24
,Land Deed,2,24
,Mallet,2,24
,Marker Stake,2,24
,Hammer,2,8
,Hand Drill,2,8
,Paint Bucket,2,8
,Stone Block,2,8
,Brick,2,8
,Tar Bucket,2,8
,Map Piece,2,1
,Voucher3,2,9
,Voucher4,2,8
,GrassFenceL,1,9
DerbyRewardSet7_41_expert,FreeDiamonds,3,3
,Plank,2,6
,Nail,2,6
,Bolt,2,6
,Screw,2,6
,Duct Tape,2,6
,Wood Panel,2,6
,Land Deed,2,6
,Mallet,2,6
,Marker Stake,2,6
,Voucher3,2,3
,Voucher4,2,3
,CrossFence,1,2
DerbyRewardSet8_41_expert,FreeDiamonds,3,3
,Plank,3,6
,Nail,3,6
,Bolt,3,6
,Screw,3,6
,Duct Tape,3,6
,Wood Panel,3,6
,Land Deed,3,6
,Mallet,3,6
,Marker Stake,3,6
,Voucher3,2,3
,Voucher4,2,3
,WhiteFence,1,2
DerbyRewardSetBronze_41_expert,Axe,6,4
,Saw,6,4
,Shovel,3,4
,Dynamite,3,4
,Demolition Charge,3,4
,Pickaxe,3,4
,Plank,2,12
,Nail,2,12
,Bolt,2,12
,Screw,2,12
,Duct Tape,2,12
,Wood Panel,2,12
,Land Deed,2,9
,Mallet,2,9
,Marker Stake,2,9
,Voucher3,2,9
,Voucher4,2,9
,RockingHorse,1,3
,HorseTopiary,1,3
DerbyRewardSetSilver_41_expert,Axe,7,4
,Saw,7,4
,Shovel,4,4
,Dynamite,4,4
,Demolition Charge,4,4
,Pickaxe,4,4
,Plank,3,8
,Nail,3,8
,Bolt,3,8
,Screw,3,8
,Duct Tape,3,8
,Wood Panel,3,8
,Land Deed,3,7
,Mallet,3,7
,Marker Stake,3,7
,Voucher3,2,5
,Voucher4,2,5
,RockingHorse,1,3
,HorseTopiary,1,3
DerbyRewardSetGold_41_expert,Axe,8,4
,Saw,8,4
,Shovel,5,4
,Dynamite,5,4
,Demolition Charge,5,4
,Pickaxe,5,4
,Plank,3,8
,Nail,3,8
,Bolt,3,8
,Screw,3,8
,Duct Tape,3,8
,Wood Panel,3,8
,Land Deed,3,7
,Mallet,3,7
,Marker Stake,3,7
,Voucher3,2,5
,Voucher4,2,5
,RockingHorse,1,3
,HorseTopiary,1,3
