Name,ShopIconExportName,UnlockLevel,RepUnlockLevel,ShopOrder,FileName,ExportName,TileWidth,TileHeight,Price,DiamondPrice,Vouchers,VoucherCount,PriceIncrease,DoPriceIncreaseEveryNObject,ShopDescriptionTID,TID,BuySound,AttractsButterflies,BirdsLand,SpawnsBirds,SpawnsFrogs,TapSound,CanBuy,SpinWheelPrize,BuyExp,Theme,TagSpecial,TagNature,TagDeco,HideFromLevelUpScreen
Snowgirl,shop_icon_snowgirl,1,0,,sc/decos.sc,snowgirl,1,1,,25,,,,,TID_DECO_CHRISTMAS_SNOWWOMAN_DESC,TID_DECO_CHRISTMAS_SNOWWOMAN,Buy,,,,,TapDecorationXmas,TRUE,,25,Christmas2014,TRUE,,,
Gramophone,shop_icon_gramophone,1,0,,sc/decos.sc,gramophone,1,1,,,,,,,TID_DECO_GENERIC_DESCRIPTION,TID_DECO_NEWYEAR_GRAMOPHONE,Buy,,,,,TapDecorationGeneric,,TRUE,,,TRUE,,,
GoldenWell,shop_icon_well_02,29,0,,sc/decos.sc,well_02,1,1,,59,,,,,TID_GOLDENWELL_DESCRIPTION,TID_GOLDENWELL,Buy,,,,,TapDecorationGeneric,TRUE,,25,,TRUE,,,
GoldenOuthouse,shop_icon_outhouse_02,30,0,,sc/decos.sc,outhouse_02,1,1,,49,,,,,TID_GOLDENOUTHOUSE_DESCRIPTION,TID_GOLDENOUTHOUSE,Buy,,,,,TapDecorationGeneric,TRUE,,25,,TRUE,,,
GoldenSwingset,shop_icon_swing_02,35,0,,sc/decos.sc,swing_02,2,1,,69,,,,,TID_GOLDENSWINGSET_DESCRIPTION,TID_GOLDENSWINGSET,Buy,,,,,TapDecorationGeneric,TRUE,,25,,TRUE,,,
EasterTree,shop_icon_easter_tree,1,0,,sc/decos.sc,easter_tree,1,1,,999,,,,,TID_EASTERTREE_DESCRIPTION,TID_EASTERTREE,Buy,,,,,TapDecorationGeneric,,,,,TRUE,,,
MushroomLog,shop_icon_mushroom_log,26,0,,sc/decos.sc,mushroom_log,1,1,5500,,,,550,,TID_MUSHROOMLOG_DESCRIPTION,TID_MUSHROOMLOG,Buy,,,,,TapDecorationGeneric,TRUE,,25,,TRUE,TRUE,,
MossyRock,shop_icon_mossy_rock,24,0,,sc/decos.sc,mossy_rock,1,1,3500,,,,350,,TID_MOSSYROCK_DESCRIPTION,TID_MOSSYROCK,Buy,,,,,TapDecorationGeneric,TRUE,,25,,TRUE,TRUE,,
MonumentalRock,shop_icon_monumental_rock,0,10,,sc/decos.sc,monumental_rock,2,2,,,Voucher3,4,,,TID_MONUMENTALROCK_DESCRIPTION,TID_MONUMENTALROCK,Buy,,,,,TapDecorationGeneric,TRUE,,25,,TRUE,TRUE,,
,,,,,,,,,,,Voucher4,4,,,,,,,,,,,,,,,TRUE,,,
FlowerWagon,shop_icon_flowerwagon,32,0,,sc/decos.sc,flowerwagon,1,2,,35,,,,,TID_DECO_GENERIC_DESCRIPTION,TID_FLOWER_WAGON,Buy,TRUE,,,,TapDecorationGeneric,TRUE,,25,,TRUE,TRUE,,
TulipShoes,shop_icon_tulipshoes,0,8,,sc/decos.sc,tulipshoes,1,1,,20,,,,,TID_MONUMENTALROCK_DESCRIPTION,TID_TULIP_SHOES,Buy,,,,,TapDecorationGeneric,TRUE,,25,,TRUE,,,
WhiteCarriage,shop_icon_whitecarriage,44,0,,sc/decos.sc,white_carriage,2,2,,130,,,,,TID_DECO_GENERIC_DESCRIPTION,TID_WHITE_CARRIAGE,Buy,,,,,TapDecorationGeneric,TRUE,,25,,TRUE,,,
HangingFlowers,shop_icon_hangingflower,0,9,,sc/decos.sc,hanging_flower,1,1,,,Voucher2,3,,,TID_MONUMENTALROCK_DESCRIPTION,TID_HANGING_FLOWERS,Buy,,,,,TapDecorationGeneric,TRUE,,25,,TRUE,TRUE,,
,,,,,,,,,,,Voucher3,4,,,,,,,,,,,,,,,TRUE,,,
BirthdayCake,shop_icon_birthday_cake,1,0,,sc/decos.sc,birthday_cake,2,2,,,,,,,TID_HAYDAY_BIRTHDAYCAKE_DESCRIPTION,TID_HAYDAY_BIRTHDAYCAKE,Buy,,,,,TapDecorationGeneric,,,,,TRUE,,,TRUE
GoldenTree,shop_icon_lvl100,100,0,,sc/decos.sc,lvl100_deco,2,2,,,,,,,TID_GOLDENTREE_DESCRIPTION,TID_GOLDENTREE,,,,,,TapDecorationGeneric,,,,,TRUE,,,
PinkVespa,shop_icon_pink_vespa,20,0,,sc/decos.sc,pink_vespa,1,2,,35,,,,,TID_DECO_GENERIC_DESCRIPTION,TID_PINKSCOOTER,Buy,,,,,TapDecorationGeneric,TRUE,,25,,TRUE,,TRUE,
GrassFenceS,shop_icon_derby_grassfence_small,20,0,,sc/decos.sc,derby_deco_grassfence_small,2,1,,999,,,,,TID_DERBY_DECO_DESCRIPTION,TID_GRASSFENCES,,,,,,TapDecorationGeneric,,,,,TRUE,,TRUE,TRUE
GrassFenceL,shop_icon_derby_grassfence_big,23,0,,sc/decos.sc,derby_deco_grassfence_big,2,1,,999,,,,,TID_DERBY_DECO_DESCRIPTION,TID_GRASSFENCEL,,,,,,TapDecorationGeneric,,,,,TRUE,,TRUE,TRUE
CrossFence,shop_icon_derby_xfence,30,0,,sc/decos.sc,derby_deco_grassfence_x,2,1,,999,,,,,TID_DERBY_DECO_DESCRIPTION,TID_CROSSFENCE,,,,,,TapDecorationGeneric,,,,,TRUE,,TRUE,TRUE
WhiteFence,shop_icon_derby_whitefence,32,0,,sc/decos.sc,derby_deco_whitefence,2,1,,999,,,,,TID_DERBY_DECO_DESCRIPTION,TID_WHITEFENCE,,,,,,TapDecorationGeneric,,,,,TRUE,,TRUE,TRUE
HayFence,shop_icon_derby_hayfence,17,0,,sc/decos.sc,derby_deco_haybalefence,2,1,,999,,,,,TID_DERBY_DECO_DESCRIPTION,TID_HAYFENCE,,,,,,TapDecorationGeneric,,,,,TRUE,,TRUE,TRUE
RockingHorse,shop_icon_rocking_horse,18,0,,sc/decos.sc,rocking_horse,1,1,,999,,,,,TID_DERBY_DECO_DESCRIPTION,TID_ROCKINGHORSE,,,,,,TapDecorationGeneric,,,,,TRUE,,TRUE,TRUE
LaundryTub,shop_icon_washing_board,16,0,,sc/decos.sc,washing_board,1,1,2000,,,,200,1,TID_DECO_GENERIC_DESCRIPTION,TID_WASHINGBUCKET,Buy,,,,,TapDecorationGeneric,TRUE,,25,,TRUE,,TRUE,
HorseTopiary,shop_icon_derby_horsetopiary,27,0,,sc/decos.sc,derby_horse_topiary,2,2,,999,,,,,TID_DERBY_DECO_DESCRIPTION,TID_HORSETOPIARY,,,,,,TapDecorationGeneric,,,,,TRUE,,TRUE,TRUE
FlowerTire,shop_icon_flowertire,23,0,,sc/decos.sc,flowertire,1,1,4000,,,,400,1,TID_DECO_GENERIC_DESCRIPTION,TID_TRACTORTIREROSES,Buy,TRUE,,,,TapDecorationGeneric,TRUE,,25,,TRUE,,TRUE,
OpenGrave,shop_icon_open_grave,1,0,,sc/decos.sc,open_grave,2,2,,999,,,,,TID_DECO_GARGOYLE_DESC,TID_OPENGRAVE,,,,,,TapDecorationGeneric,,,,Halloween2015,TRUE,,,
SpookyPumpkin,shop_icon_pumpkinhouse,1,0,,sc/decos.sc,pumpkinhouse,1,1,,25,,,,,TID_DECO_HAUNTED_BIRDHOUSE_DESC,TID_SPOOKYPUMPKIN,Buy,,,,,TapDecorationGeneric,TRUE,,25,Halloween2015,TRUE,,,
SpookyPlant,shop_icon_flesh_eating_plant,1,0,,sc/decos.sc,flesh_eating_plant,1,1,,40,,,,,TID_DECO_HAUNTED_BIRDHOUSE_DESC,TID_SPOOKYPLANT,Buy,,,,,TapDecorationGeneric,TRUE,,25,Halloween2015,TRUE,,,
