Name,TaskType,TID,DescriptionTID,IconTooltipTID,ExportName,MinRequiredQuantity,MaxRequiredQuantity,Deprecated,MinXPLevelForSpawn,SpawnProbabilityWeight,MinEventTimeMinLeftForSpawn,TaskParam1,TaskParam2,TaskParam3,MinRewardNeighborhoodPoints,MaxRewardNeighborhoodPoints,MinTaskDurationMin,MaxTaskDurationMin,CooldownIntervalSeconds,AdminCooldownIntervalSeconds,InstantCompleteCooldown
CollectGoodEasyTofu Dog,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,2,4,,76,2,0,Tofu Dog,Hotdog_Stand,,50,90,216,432,1800,1800,5
CollectGoodEasyTomato Juice,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,3,4,,32,2,0,Tomato Juice,Juice_Press,,50,90,648,864,1800,1800,5
CollectGoodEasyVanilla Ice Cream,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,2,3,,29,2,0,Vanilla Ice Cream,Ice_Cream_Maker,,50,90,576,864,1800,1800,5
CollectGoodMediumApple Juice,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,5,7,,30,3,0,Apple Juice,Juice_Press,,120,190,1140,1596,1800,1800,5
CollectGoodMediumBacon and Eggs,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,9,12,,18,3,0,Bacon and Eggs,Barbecue_Grill,,120,190,1026,1368,1800,1800,5
CollectGoodMediumBaked Potato,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,7,9,,35,3,0,Baked Potato,Barbecue_Grill,,120,190,466,599,1800,1800,5
CollectGoodMediumBerry Cake,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,8,10,,23,3,0,Berry Cake,Cake_Oven,,120,190,912,1140,1800,1800,5
CollectGoodMediumBlackberry Muffin,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,8,11,,26,3,0,Blackberry Muffin,Bakery,,120,190,684,941,1800,1800,5
CollectGoodMediumCarrot Cake,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,7,9,,21,3,0,Carrot Cake,Cake_Oven,,120,190,1197,1539,1800,1800,5
CollectGoodMediumChili Popcorn,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,5,7,,25,3,0,Chili Popcorn,Popcorn_Pot,,120,190,1140,1596,1800,1800,5
CollectGoodMediumCotton Shirt,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,8,11,,19,3,0,Cotton Shirt,Sewing_Machine,,120,190,684,941,1800,1800,5
CollectGoodMediumFeta Pie,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,6,7,,34,3,0,Feta Pie,Pie_Oven,,120,190,1026,1197,1800,1800,5
CollectGoodMediumGoat Cheese,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,7,9,,33,3,0,Goat Cheese,Dairy,,120,190,1197,1539,1800,1800,5
CollectGoodMediumYogurtSmoothie,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,6,7,,70,3,0,YogurtSmoothie,Smoothie_Mixer,,120,190,1140,1596,1800,1800,5
CollectGoodMediumOliveOil,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,7,9,,60,3,0,OliveOil,Sauce_Mixer,,120,190,1254,1596,1800,1800,5
CollectGoodMediumPotato Bread,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,7,9,,39,3,0,Potato Bread,Bakery,,120,190,1254,1596,1800,1800,5
CollectGoodMediumPumpkin Pie,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,5,7,,18,3,0,Pumpkin Pie,Pie_Oven,,120,190,1254,1596,1800,1800,5
CollectGoodMediumBlue Woolly Hat,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,11,14,,19,3,0,Blue Woolly Hat,Loom,,120,190,684,941,1800,1800,5
CollectGoodMediumSyrup,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,7,9,,18,3,0,Syrup,Sugar_Mill,,120,190,1197,1539,1800,1800,5
CollectGoodMediumToffee,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,7,9,,52,3,0,Toffee,Candy_Machine,,120,190,1197,1539,1800,1800,5
CollectGoodMediumTofu Dog,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,6,8,,76,3,0,Tofu Dog,Hotdog_Stand,,120,190,513,684,1800,1800,5
CollectGoodMediumTomato Juice,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,7,9,,32,3,0,Tomato Juice,Juice_Press,,120,190,1197,1539,1800,1800,5
CollectGoodMediumVanilla Ice Cream,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,5,7,,29,3,0,Vanilla Ice Cream,Ice_Cream_Maker,,120,190,1140,1596,1800,1800,5
CollectGoodHardApple Juice,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,9,13,,30,4,0,Apple Juice,Juice_Press,,230,320,1944,2808,1800,1800,5
CollectGoodHardBacon and Eggs,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,14,22,,18,4,0,Bacon and Eggs,Barbecue_Grill,,230,320,1512,2376,1800,1800,5
CollectGoodHardBaked Potato,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,11,17,,35,4,0,Baked Potato,Barbecue_Grill,,230,320,693,1071,1800,1800,5
CollectGoodHardBerry Cake,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,12,18,,23,4,0,Berry Cake,Cake_Oven,,230,320,1296,1944,1800,1800,5
CollectGoodHardBlackberry Muffin,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,13,20,,26,4,0,Blackberry Muffin,Bakery,,230,320,1053,1620,1800,1800,5
CollectGoodHardCarrot Cake,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,11,17,,21,4,0,Carrot Cake,Cake_Oven,,230,320,1782,2754,1800,1800,5
CollectGoodHardChili Popcorn,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,9,13,,25,4,0,Chili Popcorn,Popcorn_Pot,,230,320,1944,2808,1800,1800,5
CollectGoodHardCotton Shirt,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,13,20,,19,4,0,Cotton Shirt,Sewing_Machine,,230,320,1053,1620,1800,1800,5
CollectGoodHardFeta Pie,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,9,14,,34,4,0,Feta Pie,Pie_Oven,,230,320,1458,2268,1800,1800,5
CollectGoodHardGoat Cheese,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,11,17,,33,4,0,Goat Cheese,Dairy,,230,320,1782,2754,1800,1800,5
CollectGoodHardYogurtSmoothie,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,9,14,,70,4,0,YogurtSmoothie,Smoothie_Mixer,,230,320,1944,2808,1800,1800,5
CollectGoodHardOliveOil,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,11,17,,60,4,0,OliveOil,Sauce_Mixer,,230,320,1836,2700,1800,1800,5
CollectGoodHardPotato Bread,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,11,16,,39,4,0,Potato Bread,Bakery,,230,320,1836,2700,1800,1800,5
CollectGoodHardPumpkin Pie,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,9,13,,18,4,0,Pumpkin Pie,Pie_Oven,,230,320,1836,2700,1800,1800,5
CollectGoodHardBlue Woolly Hat,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,17,25,,19,4,0,Blue Woolly Hat,Loom,,230,320,1053,1620,1800,1800,5
CollectGoodHardSyrup,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,11,17,,18,4,0,Syrup,Sugar_Mill,,230,320,1782,2754,1800,1800,5
CollectGoodHardToffee,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,11,16,,52,4,0,Toffee,Candy_Machine,,230,320,1782,2592,1800,1800,5
CollectGoodHardTofu Dog,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,9,14,,76,4,0,Tofu Dog,Hotdog_Stand,,230,320,729,1134,1800,1800,5
CollectGoodHardTomato Juice,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,11,17,,32,4,0,Tomato Juice,Juice_Press,,230,320,1782,2754,1800,1800,5
CollectGoodHardVanilla Ice Cream,CollectGood,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_TITLE,TID_NEIGHBORHOOD_TASK_COLLECT_GOOD_DESCRIPTION,,,9,13,,29,4,0,Vanilla Ice Cream,Ice_Cream_Maker,,230,320,1944,2808,1800,1800,
